  admin: {
    notifySubscribersDesc: "Отправить email-уведомление о новом гранте всем активным подписчикам",
    cancel: "Отмена",
    createGrant: "Создать грант",
    saveChanges: "Сохранить изменения",

    phGrantName: "Название гранта...",
    phOrganization: "Название организации...",
    phDescription: "Опишите грант...",
    phAmount: "напр., $5,000 - $25,000",
    phEligibility: "Кто имеет право...",
    phWebsite: "https://...",
    phEmail: "contact@...",
    phPhone: "+1 (555) ...",
    phStatus: "Открыт, Закрыт, Постоянный...",
    phApplicationProcess: "Пошаговый процесс подачи заявки...",
    phDeadline: "Постоянный, 31 дек, 2026...",
    phTargetDiagnosis: "Рак, Редкое заболевание, Любой...",
    phAgeRange: "Все возрасты, Дети (0-17), Взрослые...",
    phState: "Калифорния, Нью-Йорк, По всей стране...",
    phCity: "Лос-Анджелес, Нью-Йорк Сити...",
    phGeographicScope: "По всей стране, По штату...",
    phDocuments: "Медицинские записи, подтверждение дохода, удостоверение...",

    deleteGrant: "Удалить грант",
    deleteConfirm: "Вы уверены, что хотите навсегда удалить \"{name}\"? Это действие нельзя отменить.",
    deleteBtn: "Удалить",

    sendNotification: "Отправить уведомление о гранте",
    selectGrantsToNotify: "Выберите гранты для уведомления подписчиков",
    selected: "Выбрано",
    searchGrantsToInclude: "Поиск грантов для включения...",
    selectAtLeastOne: "Выберите хотя бы один грант",
    grantsSelected: "Выбрано грантов: {count}",
    sendToSubscribers: "Отправить подписчикам",

    activeSubscribers: "Активные подписчики",
    notificationsSent: "Отправленные уведомления",
    totalSubscribers: "Всего {total} ({unsubscribed} отписались)",
    unsubscribed: "отписались",
    completed: "завершено",
    failed: "неудачно",
    sendGrantNotification: "Отправить уведомление о гранте",
    notificationHistory: "История уведомлений",
    thSubject: "Тема",
    thGrantsCol: "Гранты",
    thRecipients: "Получатели",
    thSuccess: "Успешно",
    thSentAt: "Отправлено",
    noNotifications: "Уведомления ещё не отправлялись",
    noNotificationsHint: "Нажмите \"Отправить уведомление о гранте\" для начала",

    importGrants: "Импорт грантов",
    importStepUpload: "Загрузите CSV или Excel файл",
    importStepPreview: "Проверьте данные перед импортом",
    importStepImporting: "Импорт грантов...",
    importStepDone: "Импорт завершён",
    parsingFile: "Анализ файла...",
    dropFileHere: "Перетащите CSV или Excel файл сюда",
    orClickBrowse: "или нажмите для выбора",
    expectedColumns: "Ожидаемые столбцы:",
    requiredColumns: "Обязательные: Название, Категория, Страна",
    optionalColumns: "Необязательные: Item ID (для обновления), Организация, Описание, Тип, Право на получение, Веб-сайт, Телефон, Эл. почта, Сумма, Статус",
    translationColumns: "Переводы: EN Name, EN Description, KA Name, KA Description, FR Name и т.д.",
    importTip: "Совет: сначала экспортируйте существующие гранты, чтобы увидеть точный формат.",
    validRows: "Валидные строки",
    skipped: "Пропущено",
    errors: "Ошибки",
    validationErrors: "Ошибки валидации",
    previewRows: "Предпросмотр (первые 10 строк)",
    andMoreRows: "...и ещё {count} строк",
    importingGrants: "Импорт {count} грантов...",
    thisMayTakeMoment: "Это может занять некоторое время",
    importComplete: "Импорт завершён",
    created: "Создано",
    updated: "Обновлено",
    failedEntries: "Неудачные записи:",
    uploadDifferentFile: "Загрузить другой файл",
    importNGrants: "Импортировать {count} грантов",
    done: "Готово",
    close: "Закрыть",

    toastRoleUpdated: "Роль пользователя обновлена",
    toastSubUpdated: "Статус подписки обновлён",
    toastGrantCreated: "Грант успешно создан",
    toastGrantUpdated: "Грант обновлён",
    toastGrantDeleted: "Грант удалён",
    toastNoGrantsExport: "Нет грантов для экспорта",
    toastExportFailed: "Ошибка экспорта",
    toastParseFailed: "Не удалось обработать файл",
    toastImportFailed: "Ошибка импорта",

    unitedStates: "Соединённые Штаты",
    international: "Международный",
  },
